,title,date,context,source
0,"[하반기 특징주]⑤'숨고르기' 동성제약, 다시 랠리 이어가나",2018-09-22 06:11,"하반기 들어 153% ↑…지난 5일 연중 최고치 기록연구개발비 자산으로 인식한 새 회계지침도 호재자료=마켓포인트‘일희일비(一喜一悲)’ 하지 말라지만 어디 그게 쉬운 일인가. 특히 호재와 악재가 뒤엉켜 등락을 반복하는 주식시장에서 투자자들의 표정은 하루에 열두 번도 더 바뀌곤 한다. 하반기 투자자들을 유난히 웃기고 울렸던 종목은 어떤 것이 있을까. 이데일리 증권시장부 종목팀 기자들이 격론 끝에 5개 종목을 추려봤다. 제일제강(023440)과 동성제약(002210), 나노스(151910), 녹십자셀(031390), 툴젠이 주인공이다.<편집자 주>[이데일리 박태진 기자] 동성제약(002210)이 올 하반기 들어 새로운 암 치료법인 ‘광역학 치료’ 임상시험 결과에 따른 기대감에 고공행진하고 있다. 광역학 치료란 정상세포를 살리면서 종양세포를 없애는 것으로, 칼이나 약이 아닌 빛으로 암을 제거하는 치료방법이다.  22일 마켓포인트에 따르면 지난 21일 동성제약은 3만7650원에 거래를 마쳤다. 이 회사는 올 하반기(7월 2일 대비) 들어 153.38%나 상승했다. 불과 1년 전인 지난해 9월에 3600~3700원 수준이었던 걸 감안하면 무려 10배 이상 올랐다.  동성제약 주가는 지난 7월 20일 췌장암 치료제 임상2상 시험 결과를 해외 학회지에 투고했다는 소식에 급등했다. 2세대 광과민제 ‘포토론(Photolon)’의 임상시험 결과 췌장암 치료에 효능이 있다는 내용이었다. 이날 주가는 전일대비 19.17% 급등하면 2만3000원에 거래를 마쳤다. 이후 잠잠하던 주가는 광역학 치료법이 새 성장동력으로 자리잡을 수 있다는 기대감에 8월 중순부터 반등세로 접어들었다. 같은 달 23일에는 전일대비 29.88% 급등해 상한가(3만1950원)를 달성했고, 27일에도 전일대비 19.58%나 오른 4만300원에 거래를 끝냈다. 특히 이달 5일에는 52주 최고가인 4만9300원을 기록, 5만원대 진입을 목전에 두기도 했다. 너무 짧은 시간에 급격히 오른 탓일까. 이후 주가는 계속 밀리는 모습을 보였지만, 지난 19일 금융당국의 제약·바이오 기업의 회계처리 관련 감독지침을 발표하면서 다시 한번 상승하는 모습이다. 지침에 따르면 신약은 ‘임상 3상’, 바이오시밀러(바이오의약품 복제약)는 ‘임상 1상’ 단계에서 연구개발(R&D) 비용을 자산화 할 수 있다. 한편, 동성제약은 지난 1957년 창립돼 지사제 ‘정로환’과 염색약 ‘세븐에이트’로 유명하다. 지난 2분기 매출액(개별기준)은 224억원으로 전년동기대비 4.78% 상승했지만, 영업손실이 7억원 발생하면서 적자 전환했다.박태진 (tjpark@edaily.co.kr)네이버에서 ‘이데일리’ 구독하면 '공기청정기' 드려요~ [구독하기▶]20~30 세대를 위한 꿀팁! 정보 [스냅타임▶]꿀잼 '웹툰'이 매일 매일 공짜...[웹툰보기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",Naver_news
1,"동성제약, ‘2018 장애인 아시안게임’ 국가대표 후원",2018-09-21 10:15,"/사진=동성제약동성제약이 대한장애인체육회와 힘을 합쳐 장애인 아시안게임 국가대표 선수단 후원에 나섰다.동성제약은 지난 19일 대한장애인체육회 이천훈련원에서 개최된 ‘2018 인도네시아 장애인 아시아 경기대회 대한민국 선수단 결단식’에서 장애인 국가대표 선수단에게 1억원 상당의 ‘아나파테이프’를 후원하는 내용의 MOU를 체결했다.동성제약 아나파테이프는 아픈 부위에 바로 사용할 수 있게끔 잘라져 있어 편리하게 사용할 수 있는 근육 테이프다. 운동 후 목·어깨·허리·손목·무릎 등에서 발생하는 통증의 완화에 도움을 줘 중요한 경기를 앞둔 장애인 아시안게임 국가대표 선수단에게 유용하게 사용될 예정이다.한편 ‘2018 인도네시아 장애인 아시아 경기대회’는 다음달 6일부터 13일까지 인도네시아 자카르타에서 개최된다. 43개국 3000여명의 선수가 참여하며 우리나라는 17개 종목에 313명의 선수단 참가가 예정돼 있다.허주열 기자 sense83@mt.co.kr<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>▶ 머니S 페이스북 ▶ 동영상으로 만나는 머니S",Naver_news
2,"[한경로보뉴스] '동성제약' 5% 이상 상승, 거래량 큰 변동 없음. 전일 24% 수준",2018-09-20 10:14,"20일 오전 10시 11분 현재 동성제약은 전 거래일보다 5.23% 오른 38,200원에 거래되고 있다. 주가의 흐름을 살펴보면 36,700원으로 개장해서 장중 한때 36,200원(-0.28%)까지 소폭 밀렸다가 다시 38,500원(+6.06%)까지 상승 반전한 후, 현재는 38,200원(+5.23%)에서 머물면서 장중에 많이 상승한 모습이다.◆ 거래량 분석- 거래량 큰 변동 없음. 전일 24% 수준지금까지 거래량은 69.4만주, 전일 거래량의 24% 수준으로 오늘 거래는 큰 움직임 없이 다소 침체된 모습이다.[그래프]동성제약 거래량 분석◆ 최근 분기 실적- 2018.2Q, 매출액 224억(+4.8%), 영업이익 -7억(적자전환)동성제약의 2018년 2사분기 매출액은 224억으로 전년동기 대비 4.78% 상승했고, 영업이익은 -7억으로 적자로 돌아섰다.이번 분기의 매출액은 지난 3년 중 최대 실적이고, 영업이익은 지난 3년 평균 영업이익 대비 -7억 감소한 수준이다.이 회사의 매출액 증가율과 영업이익 증가율은 각각 코스피 하위 50%, 하위 7%에 랭킹되고 있다.[표]동성제약 분기실적한경로보뉴스이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.  - 기사오류문의 02-3277-9940[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지",Naver_news
3,"[한경로보뉴스] '동성제약' 5% 이상 상승, 2018.2Q, 매출액 224억(+4.8%), 영업이익 -7억(적자전환)",2018-09-19 09:29,"동성제약이 장 초반 부터 전일 대비 +5%이상 상승하고 있다. 19일 오전 09시 14분 동성제약은 전 거래일보다 5.0% 오른 42,000원에 거래되고 있다. 주가의 흐름은 41,150원으로 개장해서 장중 한때 40,950원(+2.38%)까지 살짝 밀렸지만, 상승 반전해서 현재 42,000원(+5.0%)까지 소폭 상승하고 있다.◆ 최근 분기 실적- 2018.2Q, 매출액 224억(+4.8%), 영업이익 -7억(적자전환)동성제약의 2018년 2사분기 매출액은 224억으로 전년동기 대비 4.78% 상승했고, 영업이익은 -7억으로 적자로 돌아섰다.이번 분기의 매출액은 지난 3년 중 최대 실적이고, 영업이익은 지난 3년 평균 영업이익 대비 -7억 감소한 수준이다.이 회사의 매출액 증가율과 영업이익 증가율은 각각 코스피 하위 50%, 하위 7%에 랭킹되고 있다.[표]동성제약 분기실적한경로보뉴스이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.  - 기사오류문의 02-3277-9940[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지",Naver_news
4,"동성제약, 전일 대비 약 7% 상승한 45,500원",2018-09-12 11:00,"[한국경제TV 라이온봇 기자][그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률동성제약은 9월 12일 11시 0분 전일 대비 약 7% 상승한 45,500원에 거래되고 있다. 동성제약은 코스피 상장 기업으로 의약품 업종에 속해 있다. 시가총액은 1조558억원으로 코스피 상장기업 중 169위에 위치 해 있다.[종목 성향 진단][그림 2] 종목 성향 진단동성제약의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.주가 모멘텀은 굉장히 좋은 편이었다. 최근 3개월 수익률이 무려 156.93%의 상승폭을 기록했다. 최근 1개월 수익률 또한 97.91% 상승하며 굉장히 좋은 모멘텀을 보이고 있다.동성제약 종목에 대한 투자자의 관심도는 굉장히 높은 편이다.[투자 점수 진단][그림 3] 투자 점수 진단동성제약은 어느 측면에서 투자 매력도가 높은 종목일까?AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.  그 결과 동성제약은 상대적으로 추세지표 측면에서 두각을 드러내고 있었다.추세 점수는 주가의 상승 모멘텀이 어느정도 인가를 나타낸다.동성제약은 특히 12개월전대비수익률 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 1위를 기록하며 상위 0%에 위치했다. 업종별로는 1위를 기록하며 상위 0%에 위치했다.그러나 기업 가치 대비 주가 수준을 나타내는 저평가 측면에서는 아쉬움을 나타냈다.(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]ⓒ 한국경제TV, 무단 전재 및 재배포 금지",Naver_news
5,"[특징주] 동성제약, 사흘째 상승세… LED 암치료 기대감",2018-09-12 10:28,"동성제약이 3거래일 연속 상승세다.12일 오전 10시15분 현재 동성제약은 전 거래일 대비 3900원(9.14%) 오른 4만6550원에 거래되고 있다.앞서 지난달 23일 동성제약은 상한가를 달성하며 한국거래소로부터 현저한 시황변동에 대한 조회공시를 요구받았다. 이튿날 동성제약은 중요공시대상이 없다고 답변했다.금융투자업계에서는 동성제약의 주가흐름에 대해 2세대 광과민제 ‘포토론’과 지난해 12월 한국전기연구원으로부터 기술이전 받은 광역학치료(PDT) 기기에 대한 기대감이 반영됐기 때문으로 보고 있다. 지난 5월 췌장암 환자를 대상으로 광역학 치료 임상2상을 마친 동성제약은 해외 학회지에 임상결과를 보냈다. 학회지에 반영되면 식약처에 조건부 판매허가를 신청할 수 있다. 동성제약은 앞서 벨라루스공화국 제약회사 ‘벨메드프레파라티’가 2010년 개발한 포토론을 수입했다. 포토론은 2014년 9월 식품의약품안전처로부터 희귀의약품으로 선정돼 임상2상 통과 시 상용화할 수 있다.홍승우 기자 <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>▶ 머니S 페이스북 ▶ 최신 웹툰이 매일 공짜 ▶ 동영상으로 만나는 머니S",Naver_news
6,[fnRASSI]동성제약 전일대비 10.32% 상승,2018-09-12 10:14,"동성제약(002210)은 현재 주가가 전일 대비 10.32% 상승한 47,050원 선에서 거래가 이루어지고 있다.   주요 매매주체는 개인투자자  최근 한달간 주체별 거래비중을 살펴보면 개인 비중이 98.51%로 가장 높았고, 외국인이 1.3%로 그 뒤를 이었다. 기관은 0.18%를 나타냈다.   외국인, 기관 모두 보유량 증가 (5일 누적) 최근 5일간 동종목의 외국인 투자자는 11,102주 순매수하였고 마찬가지로 기관은 7,383주 순매수하였다. 전날 외국인 3,667주 순매수, 기관7,383주 순매도하며 보유 비율이 변동했다.  다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다. 'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.   fnRASSI@fnnews.com fnRASSI ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지",Naver_news
7,"[한경로보뉴스] '동성제약' 5% 이상 상승, 2018.2Q, 매출액 224억(+4.8%), 영업이익 -7억(적자전환)",2018-09-12 09:50,"동성제약이 장 초반 부터 전일 대비 +5%이상 상승하고 있다. 12일 오전 09시 47분 동성제약은 전 거래일보다 7.27% 오른 45,750원에 거래되고 있다. 주가의 흐름을 살펴보면 43,550원으로 개장해서 장중 한때 42,300원(-0.82%)까지 소폭 밀렸다가 다시 45,900원(+7.62%)까지 상승 반전한 후, 현재는 45,750원(+7.27%)에서 머물면서 장중에 많이 상승한 모습이다.◆ 최근 분기 실적- 2018.2Q, 매출액 224억(+4.8%), 영업이익 -7억(적자전환)동성제약의 2018년 2사분기 매출액은 224억으로 전년동기 대비 4.78% 상승했고, 영업이익은 -7억으로 적자로 돌아섰다.이번 분기의 매출액은 지난 3년 중 최대 실적이고, 영업이익은 지난 3년 평균 영업이익 대비 -7억 감소한 수준이다.이 회사의 매출액 증가율과 영업이익 증가율은 각각 코스피 하위 50%, 하위 7%에 랭킹되고 있다.[표]동성제약 분기실적한경로보뉴스이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.  - 기사오류문의 02-3277-9940[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지",Naver_news
8,"<유>동성제약, 전일 대비 7.03% 상승.. 일일회전율은 2.77% 기록",2018-09-12 09:47,"[서울경제] 동성제약(002210)은 12일 오전 9시 47분 현재 7.03% 오른 45,650원에 거래되고 있으며, 40(매도):60(매수)의 매수우위를 기록하고 있다. 거래대금은 300억4,872만, 거래량은 68만5,515주로 거래량회전율은 2.77%로 나타났다.지난 1개월간 동성제약은 상한가 1회, 상승 16회, 하락 12회를 기록했고, 주가수익률은 115.33% 표준편차는 7.49%를 기록했다. 이 기간 '의약품업' 업종 평균 주가수익률은 13.90%로 나타났으며, 변동성은 1.53%를 기록했다.이 시각 현재 '의약품업'은 1.49% 상승 중이며, 65(매도):35(매수)의 매도우위를 기록하고 있다.[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]/서경뉴스봇 newsbot@sedaily.com[서울경제 바로가기]프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]블록체인의 모든 것, 서울경제 Decenter [바로가기▶]저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지",Naver_news
9,"[한경로보뉴스] '동성제약' 5% 이상 상승, 2018.2Q, 매출액 224억(+4.8%), 영업이익 -7억(적자전환)",2018-09-11 11:26,"11일 오전 11시 24분 현재 동성제약은 전 거래일보다 5.85% 오른 43,400원에 거래되고 있다. 주가의 흐름은 40,500원으로 개장해서 장중 한때 39,900원(-2.68%)까지 살짝 밀렸지만, 다시 큰 폭으로 올라서 현재 43,400원(+5.85%)까지 상승하고 있다.◆ 최근 분기 실적- 2018.2Q, 매출액 224억(+4.8%), 영업이익 -7억(적자전환)동성제약의 2018년 2사분기 매출액은 224억으로 전년동기 대비 4.78% 상승했고, 영업이익은 -7억으로 적자로 돌아섰다.이번 분기의 매출액은 지난 3년 중 최대 실적이고, 영업이익은 지난 3년 평균 영업이익 대비 -7억 감소한 수준이다.이 회사의 매출액 증가율과 영업이익 증가율은 각각 코스피 하위 50%, 하위 7%에 랭킹되고 있다.[표]동성제약 분기실적한경로보뉴스이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.  - 기사오류문의 02-3277-9940[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지",Naver_news
